minister,department
Minister of Industries,National Enterprise Development Authority
Minister of Industries,Lanka Mineral Sands Company
Minister of Industries,National Crafts Council
Minister of Industries,Department of Textile Industries
Minister of Industries,Sri Lanka Institute of Textile and Apparels
Minister of Industries,Lanka Textile Mills Emporium Ltd.
Minister of Industries,Sri Lanka Handicraft Board (Laksala)
Minister of Industries,National Design Centre
Minister of Industries,National Gem and Jewellery Authority
Minister of Industries,Gem and Jewellery Research and Training Institute
Minister of Urban Development and Housing,Urban Development Authority
Minister of Urban Development and Housing,Urban Settlement Development Authority
Minister of Urban Development and Housing,Selendiva Investments Limited
Minister of Urban Development and Housing,Hotel Developers (Lanka) PLC (PQ 143)
Minister of Urban Development and Housing,National Physical Planning Department
Minister of Urban Development and Housing,Condominium Management Authority (Common Amenities Board)
Minister of Urban Development and Housing,Sri Lanka Land Development Corporation and its subsidiaries and related institutions
Minister of Urban Development and Housing,National Housing Development Authority
Minister of Urban Development and Housing,Building Material Corporation Limited
Minister of Urban Development and Housing,Department of Buildings
Minister of Urban Development and Housing,Department of Government Factories
Minister of Urban Development and Housing,Construction Industry Development Authority
Minister of Urban Development and Housing,State Engineering Corporation
Minister of Urban Development and Housing,National Equipment and Machinery Organization
Minister of Urban Development and Housing,Ocean View Development (Pvt) Ltd.
Minister of Urban Development and Housing,Marine Environment Protection Authority
Minister of Urban Development and Housing,Department of Coast Conservation and Coastal Resource Management
Minister of Urban Development and Housing,New Villages Development Authority for Plantation Region
Minister of Urban Development and Housing,Plantation Human Development Trust
Minister of Urban Development and Housing,Saumyamoorthi Thondaman Memorial Foundation
Minister of Urban Development and Housing,Estate Sector Self-Employment Revolving Fund
Minister of Foreign Affairs,Diplomatic Missions in abroad
Minister of Foreign Affairs,National Oceanic Affairs Committee Secretariat
Minister of Foreign Affairs,Lakshman Kadirgamar Institute for International Relations and Strategic Studies
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Buddhist Affairs
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Hindu Religious and Cultural Affairs
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Christian Religious Affairs
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Muslim Religious and Cultural Affairs
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of National Museums
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of National Archives
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Public Trustee
"Minister of Buddhasasana, Religious and Cultural Affairs",Central Cultural Fund
"Minister of Buddhasasana, Religious and Cultural Affairs",Buddhasasana Fund
"Minister of Buddhasasana, Religious and Cultural Affairs",Buddhist Renaissance Fund
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Cultural Affairs
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Archaeology
"Minister of Buddhasasana, Religious and Cultural Affairs",Tower Hall Theatre Foundation
"Minister of Buddhasasana, Religious and Cultural Affairs",National Arts Council
"Minister of Buddhasasana, Religious and Cultural Affairs",Gramodaya Folk Arts Centre
"Minister of Buddhasasana, Religious and Cultural Affairs",Galle Heritage Foundation
"Minister of Buddhasasana, Religious and Cultural Affairs",Mahinda Rajapaksa National Tele Cinema Park
"Minister of Buddhasasana, Religious and Cultural Affairs",National Performing Arts Theatre (Nelum Pokuna)
Minister of Power and Energy,Ceylon Electricity Board and its subsidiary Companies
Minister of Power and Energy,LTL Holdings (Pvt.) Ltd.
Minister of Power and Energy,Ceylon Petroleum Corporation
Minister of Power and Energy,Ceylon Petroleum Storage Terminal Ltd.
Minister of Power and Energy,Sri Lanka Sustainable Energy Authority
Minister of Power and Energy,Sri Lanka Atomic Energy Board
Minister of Power and Energy,Sri Lanka Atomic Energy Regulatory Council
Minister of Environment,Central Environmental Authority
Minister of Environment,Geological Survey and Mines Bureau
Minister of Sports and Youth Affairs,Department of Sports Development
Minister of Sports and Youth Affairs,National Sports Council
Minister of Sports and Youth Affairs,National Institute of Sports Science
Minister of Sports and Youth Affairs,Sugathadasa National Sports Complex Authority
Minister of Sports and Youth Affairs,Institute of Sports Medicine
Minister of Sports and Youth Affairs,Sri Lanka Anti-doping Agency
Minister of Sports and Youth Affairs,National Youth Services Council
Minister of Sports and Youth Affairs,National Youth Corps
Minister of Sports and Youth Affairs,National Centre for Leadership Development
Minister of Irrigation,Department of Irrigation
Minister of Irrigation,Central Engineering Consultancy Bureau and its subsidiaries and affiliated companies
Minister of Irrigation,Engineering Council of Sri Lanka
Minister of Labour and Foreign Employment,Department of Labour
Minister of Labour and Foreign Employment,National Institute of Labour Studies
Minister of Labour and Foreign Employment,National Institute for Occupational Safety and Health
Minister of Labour and Foreign Employment,Office of the Commissioner of Workmen's Compensation
Minister of Labour and Foreign Employment,National Productivity Secretariat
Minister of Labour and Foreign Employment,Shrama Vasana Fund
Minister of Labour and Foreign Employment,Department of Manpower and Employment
Minister of Labour and Foreign Employment,Sri Lanka Foreign Employment Bureau
Minister of Labour and Foreign Employment,Foreign Employment Agency of Sri Lanka (Pvt.) Ltd.
Minister of Public Security,Sri Lanka Police
Minister of Public Security,National Police Academy
Minister of Public Security,Secretariat for Non-Governmental Organizations
"Minister of Trade, Commerce and Food Security",Department of Commerce
"Minister of Trade, Commerce and Food Security",Lanka Sathosa Ltd.
"Minister of Trade, Commerce and Food Security",Lanka General Trading Company Ltd.
"Minister of Trade, Commerce and Food Security",Regional Economic Centres
"Minister of Trade, Commerce and Food Security",Sri Lanka Accreditation Board for Conformity Assessment
"Minister of Trade, Commerce and Food Security","Department of Measurement Units, Standards and Services"
"Minister of Trade, Commerce and Food Security",National Intellectual Property Office of Sri Lanka
"Minister of Trade, Commerce and Food Security",Consumer Affairs Authority
"Minister of Trade, Commerce and Food Security",Food Commissioner's Department
